day,cola_300ml,cola_600ml,guazi,haipai_hainorim,haipiao_haibo,redbull,haixiangcuilan,luosifen_335g,qiaqia_oatmeal,spicy_chicken_noodle,TeLunSuMilk,wangzai_milk,xiangbage_honey_chicken_wings
2020/4/1,0.0,1.0,1.0,1.0,1.0,7.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0
2020/4/2,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0
2020/4/3,1.0,0.0,0.0,1.0,1.0,11.0,8.0,0.0,0.0,0.0,2.0,5.0,2.0
2020/4/4,2.0,0.0,0.0,2.0,0.0,12.0,4.0,5.0,0.0,1.0,2.0,0.0,0.0
2020/4/5,1.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0
2020/4/6,0.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0
2020/4/7,1.0,5.0,4.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2020/4/8,2.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0
2020/4/9,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0
2020/4/10,0.0,4.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,5.0,5.0,1.0
2020/4/11,0.0,0.0,1.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0
2020/4/12,4.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,2.0,5.0,4.0
2020/4/13,2.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0
2020/4/14,2.0,1.0,0.0,5.0,0.0,2.0,0.0,3.0,1.0,0.0,5.0,6.0,0.0
2020/4/15,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0
